dominant_topic,Billing and Payments,Customer Service,General Inquiry,Human Resources,IT Support,Product Support,Returns and Exchanges,Sales and Pre-Sales,Service Outages and Maintenance,Technical Support
0,0.014198782961460446,0.04043126684636118,0.09876543209876543,0.058823529411764705,0.06551724137931035,0.044238683127572016,0.0425531914893617,0.08695652173913043,0.05434782608695652,0.02482758620689655
1,0.004056795131845842,0.0660377358490566,0.0,0.0196078431372549,0.11724137931034483,0.0720164609053498,0.07234042553191489,0.043478260869565216,0.11413043478260869,0.11379310344827587
2,0.030425963488843813,0.09433962264150944,0.08641975308641975,0.11764705882352941,0.16724137931034483,0.12448559670781893,0.07234042553191489,0.037267080745341616,0.06521739130434782,0.19517241379310346
3,0.09939148073022312,0.11590296495956873,0.16049382716049382,0.049019607843137254,0.06724137931034482,0.06893004115226338,0.09787234042553192,0.10559006211180125,0.03260869565217391,0.05310344827586207
4,0.0872210953346856,0.11320754716981132,0.04938271604938271,0.049019607843137254,0.06896551724137931,0.0720164609053498,0.06382978723404255,0.22981366459627328,0.059782608695652176,0.04206896551724138
5,0.13793103448275862,0.1105121293800539,0.1111111111111111,0.11764705882352941,0.06551724137931035,0.07921810699588477,0.1148936170212766,0.11801242236024845,0.08695652173913043,0.06275862068965517
6,0.012170385395537525,0.029649595687331536,0.012345679012345678,0.0196078431372549,0.0706896551724138,0.053497942386831275,0.02553191489361702,0.012422360248447204,0.3695652173913043,0.057931034482758624
7,0.004056795131845842,0.009433962264150943,0.0,0.029411764705882353,0.005172413793103448,0.01440329218106996,0.02553191489361702,0.024844720496894408,0.0,0.015862068965517243
8,0.018255578093306288,0.018867924528301886,0.037037037037037035,0.00980392156862745,0.08448275862068966,0.0360082304526749,0.02127659574468085,0.006211180124223602,0.06521739130434782,0.06413793103448276
9,0.21095334685598377,0.1334231805929919,0.07407407407407407,0.16666666666666666,0.06379310344827586,0.08333333333333333,0.11063829787234042,0.12422360248447205,0.03804347826086957,0.07724137931034483
10,0.002028397565922921,0.09568733153638814,0.18518518518518517,0.06862745098039216,0.02586206896551724,0.12551440329218108,0.09361702127659574,0.09937888198757763,0.021739130434782608,0.044137931034482755
11,0.30425963488843816,0.04582210242587601,0.04938271604938271,0.06862745098039216,0.05172413793103448,0.06275720164609054,0.06808510638297872,0.024844720496894408,0.04891304347826087,0.07379310344827586
12,0.07302231237322515,0.09838274932614555,0.07407407407407407,0.19607843137254902,0.11206896551724138,0.12448559670781893,0.14042553191489363,0.062111801242236024,0.03804347826086957,0.15724137931034482
13,0.002028397565922921,0.0215633423180593,0.024691358024691357,0.029411764705882353,0.010344827586206896,0.030864197530864196,0.05106382978723404,0.012422360248447204,0.005434782608695652,0.010344827586206896
14,0.0,0.006738544474393531,0.037037037037037035,0.0,0.02413793103448276,0.00823045267489712,0.0,0.012422360248447204,0.0,0.007586206896551724
